Batch ID,Leather type,OperatorID,scanned area,time,date,,,,,,
6091.c0227,PEL.F20P.MACA81,paolo,0.576,770,01/07/2019,,,,,,
7627,PEL.L15.1816,x.pol.t22,56.64,4734,26/09/2020,,,,,,
7627,PEL.L15.1816,x.pol.t23,25.76,1954,26/09/2020,,,,,,
7388,PEL.L15.1812,x.pol.t22,82.72,7132,26/09/2020,,,,,,
7593,PEL.L15.1806,x.pol.t23,39.15,2763,28/09/2020,,,,,,
7590,PEL.L15.1810,vitogiorgio,97.26,6155,25/09/2020,,,,,,s
7453,PEL.L20.2540,x.pol.t22,83.33,7630,25/09/2020,,,,,,
7244,PEL.L20.2530,vitogiorgio,50.67,4211,25/09/2020,,,,,,
7523,PEL.L15.2615,vitogiorgio,65.16,6461,25/09/2020,,,,,,
7582,PEL.F20P.MACA740,x.pol.t23,25.58,1924,25/09/2020,,,,,,
7582C,CRO.S20P.MACA740,x.pol.t23,17.24,764,25/09/2020,,,,,,
7185,PEL.L30.3064,x.pol.t23,15.9,1179,25/09/2020,,,,,,
7619S.I.,PEL.F20P.MACA000,vitogiorgio,79.456,6625,30/09/2020,,,,,,
7681S.I.,PEL.F20P.MACA80,giuseppe,78.685,5448,01/10/2020,,,,,,
7681C,CRO.S20P.MACA80,x.pol.t22,40.2,841,28/09/2020,,,,,,
7583,PEL.F30.VIM865,x.pol.t22,13.8,1184,28/09/2020,,,,,,
7617,PEL.F10.GEN00/83,vitogiorgio,32.4,2188,28/09/2020,,,,,,
7651,PEL.F30.CER747,vitogiorgio,53.05,3351,28/09/2020,,,,,,
7651C,CRO.S30.CER747,vitogiorgio,30.65,692,28/09/2020,,,,,,
7670,PEL.F30.CER910,x.pol.t23,14.8,877,29/09/2020,,,,,,
7644,PEL.F30.CER910,vitogiorgio,89.95,6888,28/09/2020,,,,,,
7644C,CRO.S30.CER910,vitogiorgio,51.3,3002,28/09/2020,,,,,,
7626,PEL.F30.CER000,giuseppe,66.45,5874,29/09/2020,,,,,,
7573C,CRO.S30.CER000,giuseppe,32,1357,29/09/2020,,,,,,
7689,PEL.F10.GEN00/11,giuseppe,153.6,12284,29/09/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,giuseppe,62.3,5611,29/09/2020,,,,,,
7667C,CRO.S20P.MACA745,giuseppe,36,1157,29/09/2020,,,,,,
7562,PEL.F30.CER830,giuseppe,48.363,3369,01/10/2020,,,,,,
7508C,CRO.S30.CER830,giuseppe,6.6,13,29/09/2020,,,,,,
7562C,CRO.S30.CER830,giuseppe,21.25,843,29/09/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,88.585,5345,01/10/2020,,,,,,
7654C,CRO.S20P.MACA11,giuseppe,64.85,2779,29/09/2020,,,,,,
7673S.I.,PEL.F20P.MACA850,giuseppe,53.145,2827,01/10/2020,,,,,,
7673C,CRO.S20P.MACA850,giuseppe,31.335,1853,01/10/2020,,,,,,
7652,PEL.F30.CER880,giuseppe,55.763,4375,01/10/2020,,,,,,
7652C,CRO.S30.CER880,giuseppe,28.25,805,29/09/2020,,,,,,
7619S.I.,PEL.F20P.MACA000,x.pol.t21,49.05,4044,29/09/2020,,,,,,
7619C,CRO.S20P.MACA000,giuseppe,33.35,931,29/09/2020,,,,,,
7664S.I.,PEL.F20P.MACA330,giuseppe,34.9,2956,29/09/2020,,,,,,
7664C,CRO.S20P.MACA330,giuseppe,25.3,872,29/09/2020,,,,,,
7646,PEL.F30.CER745,giuseppe,68.5,4715,29/09/2020,,,,,,
7646C,CRO.S30.CER745,giuseppe,39.65,1203,29/09/2020,,,,,,
7692,PEL.F30.CER009,x.pol.t21,68.9,6825,29/09/2020,,,,,,
7692C,CRO.S30.CER009,x.pol.t21,30.95,1110,29/09/2020,,,,,,
7692,PEL.F30.CER009,x.pol.t08,69.2,6306,29/09/2020,,,,,,
7695S.I.,PEL.F20P.MACA540,giuseppe,78.785,5840,01/10/2020,,,,,,
7695C,CRO.S20P.MACA540,x.pol.t08,48.41,1991,30/09/2020,,,,,,
7695S.I.,PEL.F20P.MACA540,x.pol.t23,83.65,6728,30/09/2020,,,,,,
7695C,CRO.S20P.MACA540,x.pol.t23,55.05,1525,30/09/2020,,,,,,
7624,PEL.F30.CER830,x.pol.t23,78,5874,30/09/2020,,,,,,
7624C,CRO.S30.CER830,x.pol.t23,46.75,1796,30/09/2020,,,,,,
7617,PEL.F10.GEN00/83,vitogiorgio,12.6,490,30/09/2020,,,,,,
7502,PEL.F20P.MACA850,x.pol.t21,30.001,3025,30/09/2020,,,,,,
7585,PEL.F20P.MACA83,x.pol.t08,6.6,359,30/09/2020,,,,,,
7585C,CRO.S20P.MACA83,x.pol.t08,5.2,192,30/09/2020,,,,,,
7414,PEL.F20P.MACA80,x.pol.t08,9.371,904,30/09/2020,,,,,,
7414C,CRO.S20P.MACA80,x.pol.t23,6.215,261,01/10/2020,,,,,,
7587,PEL.F20P.MACA000,giuseppe,30.049,2091,01/10/2020,,,,,,
7563,PEL.F20P.MACA86,x.pol.t21,15.65,1055,30/09/2020,,,,,,
7619S.I.,PEL.F20P.MACA000,vitogiorgio,9.4,500,30/09/2020,,,,,,
7619C,CRO.S20P.MACA000,vitogiorgio,4.1,154,30/09/2020,,,,,,
7679S.I.,PEL.F20P.MACA34,giuseppe,4.735,233,01/10/2020,,,,,,
7679C,CRO.S20P.MACA34,vitogiorgio,3.7,252,30/09/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,vitogiorgio,26.65,1600,30/09/2020,,,,,,
7654C,CRO.S20P.MACA11,vitogiorgio,20.4,674,30/09/2020,,,,,,
7652,PEL.F30.CER880,vitogiorgio,19.35,1442,30/09/2020,,,,,,
7652C,CRO.S30.CER880,vitogiorgio,9.85,260,30/09/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,giuseppe,17.735,1992,01/10/2020,,,,,,
7667C,CRO.S20P.MACA745,vitogiorgio,9.85,185,30/09/2020,,,,,,
7655,PEL.F10.GEN00/11,vitogiorgio,23.45,1614,30/09/2020,,,,,,
7689,PEL.F10.GEN00/11,giuseppe,151.45,16461,01/10/2020,,,,,,
7681S.I.,PEL.F20P.MACA80,vitogiorgio,35.45,2630,30/09/2020,,,,,,
7681S.I.,PEL.F20P.MACA80,vitogiorgio,35.5,2481,30/09/2020,,,,,,
7681S.I.,PEL.F20P.MACA80,vitogiorgio,35.45,3427,30/09/2020,,,,,,
7681C,CRO.S20P.MACA80,vitogiorgio,19,1308,30/09/2020,,,,,,
7681C,CRO.S20P.MACA80,vitogiorgio,27.98,2476,30/09/2020,,,,,,
7681C,CRO.S20P.MACA80,vitogiorgio,23.43,917,30/09/2020,,,,,,
7689,PEL.F10.GEN00/11,vitogiorgio,166.4,15795,30/09/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,giuseppe,37.8,2420,01/10/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,giuseppe,38.135,3468,01/10/2020,,,,,,
7688C,CRO.S20P.MACA880,x.pol.t23,22.35,1003,30/09/2020,,,,,,
7688C,CRO.S20P.MACA880,x.pol.t23,16.9,815,30/09/2020,,,,,,
7623S.I.,PEL.F20P.MACA83,vitogiorgio,57.2,3792,30/09/2020,,,,,,
7623S.I.,PEL.F20P.MACA83,vitogiorgio,57.15,3371,30/09/2020,,,,,,
7623C,CRO.S20P.MACA83,vitogiorgio,29.78,811,30/09/2020,,,,,,
7623C,CRO.S20P.MACA83,vitogiorgio,42.65,1236,30/09/2020,,,,,,
7625S.I.,PEL.F20P.MACA007,giuseppe,59.15,6386,01/10/2020,,,,,,
7625S.I.,PEL.F20P.MACA007,giuseppe,60.385,5239,01/10/2020,,,,,,
7625C,CRO.S20P.MACA007,vitogiorgio,33.15,1044,30/09/2020,,,,,,
7625C,CRO.S20P.MACA007,vitogiorgio,34.25,1019,30/09/2020,,,,,,
7656S.I.,PEL.F20P.MACA013,giuseppe,74.447,8425,02/10/2020,,,,,,
7656C,CRO.S20P.MACA013,vitogiorgio,54.03,1703,30/09/2020,,,,,,
7647,PEL.F30.CER850,vitogiorgio,16.713,1084,30/09/2020,,,,,,
7431C,CRO.S30.CER850,vitogiorgio,10.65,468,30/09/2020,,,,,,
7653S.I.,PEL.F20P.MACA81,vitogiorgio,67.735,5314,30/09/2020,,,,,,
