,Unnamed: 0,Batch ID,Leather type,OperatorID,scanned area,time,date,Year,week_no,month
0,0,6091.c0227,PEL.F20P.MACA81,paolo,0.5760000000000001,770,2019-07-01,2019,27,7
1,1,7627,PEL.L15.1816,x.pol.t22,56.64,4734,2020-09-26,2020,39,9
2,2,7627,PEL.L15.1816,x.pol.t23,25.76,1954,2020-09-26,2020,39,9
3,3,7388,PEL.L15.1812,x.pol.t22,82.72,7132,2020-09-26,2020,39,9
4,4,7593,PEL.L15.1806,x.pol.t23,39.15,2763,2020-09-28,2020,40,9
5,5,7590,PEL.L15.1810,vitogiorgio,97.26,6155,2020-09-25,2020,39,9
6,6,7453,PEL.L20.2540,x.pol.t22,83.33,7630,2020-09-25,2020,39,9
7,7,7244,PEL.L20.2530,vitogiorgio,50.67,4211,2020-09-25,2020,39,9
8,8,7523,PEL.L15.2615,vitogiorgio,65.16,6461,2020-09-25,2020,39,9
9,9,7582,PEL.F20P.MACA740,x.pol.t23,25.58,1924,2020-09-25,2020,39,9
10,10,7582C,CRO.S20P.MACA740,x.pol.t23,17.24,764,2020-09-25,2020,39,9
11,11,7185,PEL.L30.3064,x.pol.t23,15.9,1179,2020-09-25,2020,39,9
12,12,7619S.I.,PEL.F20P.MACA000,vitogiorgio,79.456,6625,2020-09-30,2020,40,9
13,13,7681S.I.,PEL.F20P.MACA80,giuseppe,78.685,5448,2020-10-01,2020,40,10
14,14,7681C,CRO.S20P.MACA80,x.pol.t22,40.2,841,2020-09-28,2020,40,9
15,15,7583,PEL.F30.VIM865,x.pol.t22,13.8,1184,2020-09-28,2020,40,9
16,16,7617,PEL.F10.GEN00/83,vitogiorgio,32.4,2188,2020-09-28,2020,40,9
17,17,7651,PEL.F30.CER747,vitogiorgio,53.05,3351,2020-09-28,2020,40,9
18,18,7651C,CRO.S30.CER747,vitogiorgio,30.65,692,2020-09-28,2020,40,9
19,19,7670,PEL.F30.CER910,x.pol.t23,14.8,877,2020-09-29,2020,40,9
20,20,7644,PEL.F30.CER910,vitogiorgio,89.95,6888,2020-09-28,2020,40,9
21,21,7644C,CRO.S30.CER910,vitogiorgio,51.3,3002,2020-09-28,2020,40,9
22,22,7626,PEL.F30.CER000,giuseppe,66.45,5874,2020-09-29,2020,40,9
23,23,7573C,CRO.S30.CER000,giuseppe,32.0,1357,2020-09-29,2020,40,9
24,24,7689,PEL.F10.GEN00/11,giuseppe,153.6,12284,2020-09-29,2020,40,9
25,25,7667S.I.,PEL.F20P.MACA745,giuseppe,62.3,5611,2020-09-29,2020,40,9
26,26,7667C,CRO.S20P.MACA745,giuseppe,36.0,1157,2020-09-29,2020,40,9
27,27,7562,PEL.F30.CER830,giuseppe,48.363,3369,2020-10-01,2020,40,10
28,28,7508C,CRO.S30.CER830,giuseppe,6.6,13,2020-09-29,2020,40,9
29,29,7562C,CRO.S30.CER830,giuseppe,21.25,843,2020-09-29,2020,40,9
30,30,7654S.I.,PEL.F20P.MACA11,giuseppe,88.585,5345,2020-10-01,2020,40,10
31,31,7654C,CRO.S20P.MACA11,giuseppe,64.85,2779,2020-09-29,2020,40,9
32,32,7673S.I.,PEL.F20P.MACA850,giuseppe,53.145,2827,2020-10-01,2020,40,10
33,33,7673C,CRO.S20P.MACA850,giuseppe,31.335,1853,2020-10-01,2020,40,10
34,34,7652,PEL.F30.CER880,giuseppe,55.763000000000005,4375,2020-10-01,2020,40,10
35,35,7652C,CRO.S30.CER880,giuseppe,28.25,805,2020-09-29,2020,40,9
36,36,7619S.I.,PEL.F20P.MACA000,x.pol.t21,49.05,4044,2020-09-29,2020,40,9
37,37,7619C,CRO.S20P.MACA000,giuseppe,33.35,931,2020-09-29,2020,40,9
38,38,7664S.I.,PEL.F20P.MACA330,giuseppe,34.9,2956,2020-09-29,2020,40,9
39,39,7664C,CRO.S20P.MACA330,giuseppe,25.3,872,2020-09-29,2020,40,9
40,40,7646,PEL.F30.CER745,giuseppe,68.5,4715,2020-09-29,2020,40,9
41,41,7646C,CRO.S30.CER745,giuseppe,39.65,1203,2020-09-29,2020,40,9
42,42,7692,PEL.F30.CER009,x.pol.t21,68.9,6825,2020-09-29,2020,40,9
43,43,7692C,CRO.S30.CER009,x.pol.t21,30.95,1110,2020-09-29,2020,40,9
44,44,7692,PEL.F30.CER009,x.pol.t08,69.2,6306,2020-09-29,2020,40,9
45,45,7695S.I.,PEL.F20P.MACA540,giuseppe,78.785,5840,2020-10-01,2020,40,10
46,46,7695C,CRO.S20P.MACA540,x.pol.t08,48.41,1991,2020-09-30,2020,40,9
47,47,7695S.I.,PEL.F20P.MACA540,x.pol.t23,83.65,6728,2020-09-30,2020,40,9
48,48,7695C,CRO.S20P.MACA540,x.pol.t23,55.05,1525,2020-09-30,2020,40,9
49,49,7624,PEL.F30.CER830,x.pol.t23,78.0,5874,2020-09-30,2020,40,9
50,50,7624C,CRO.S30.CER830,x.pol.t23,46.75,1796,2020-09-30,2020,40,9
51,51,7617,PEL.F10.GEN00/83,vitogiorgio,12.6,490,2020-09-30,2020,40,9
52,52,7502,PEL.F20P.MACA850,x.pol.t21,30.000999999999998,3025,2020-09-30,2020,40,9
53,53,7585,PEL.F20P.MACA83,x.pol.t08,6.6,359,2020-09-30,2020,40,9
54,54,7585C,CRO.S20P.MACA83,x.pol.t08,5.2,192,2020-09-30,2020,40,9
55,55,7414,PEL.F20P.MACA80,x.pol.t08,9.371,904,2020-09-30,2020,40,9
56,56,7414C,CRO.S20P.MACA80,x.pol.t23,6.215,261,2020-10-01,2020,40,10
57,57,7587,PEL.F20P.MACA000,giuseppe,30.049,2091,2020-10-01,2020,40,10
58,58,7563,PEL.F20P.MACA86,x.pol.t21,15.65,1055,2020-09-30,2020,40,9
59,59,7619S.I.,PEL.F20P.MACA000,vitogiorgio,9.4,500,2020-09-30,2020,40,9
60,60,7619C,CRO.S20P.MACA000,vitogiorgio,4.1,154,2020-09-30,2020,40,9
61,61,7679S.I.,PEL.F20P.MACA34,giuseppe,4.735,233,2020-10-01,2020,40,10
62,62,7679C,CRO.S20P.MACA34,vitogiorgio,3.7,252,2020-09-30,2020,40,9
63,63,7654S.I.,PEL.F20P.MACA11,vitogiorgio,26.65,1600,2020-09-30,2020,40,9
64,64,7654C,CRO.S20P.MACA11,vitogiorgio,20.4,674,2020-09-30,2020,40,9
65,65,7652,PEL.F30.CER880,vitogiorgio,19.35,1442,2020-09-30,2020,40,9
66,66,7652C,CRO.S30.CER880,vitogiorgio,9.85,260,2020-09-30,2020,40,9
67,67,7667S.I.,PEL.F20P.MACA745,giuseppe,17.735,1992,2020-10-01,2020,40,10
68,68,7667C,CRO.S20P.MACA745,vitogiorgio,9.85,185,2020-09-30,2020,40,9
69,69,7655,PEL.F10.GEN00/11,vitogiorgio,23.45,1614,2020-09-30,2020,40,9
70,70,7689,PEL.F10.GEN00/11,giuseppe,151.45,16461,2020-10-01,2020,40,10
71,71,7681S.I.,PEL.F20P.MACA80,vitogiorgio,35.45,2630,2020-09-30,2020,40,9
72,72,7681S.I.,PEL.F20P.MACA80,vitogiorgio,35.5,2481,2020-09-30,2020,40,9
73,73,7681S.I.,PEL.F20P.MACA80,vitogiorgio,35.45,3427,2020-09-30,2020,40,9
74,74,7681C,CRO.S20P.MACA80,vitogiorgio,19.0,1308,2020-09-30,2020,40,9
75,75,7681C,CRO.S20P.MACA80,vitogiorgio,27.98,2476,2020-09-30,2020,40,9
76,76,7681C,CRO.S20P.MACA80,vitogiorgio,23.43,917,2020-09-30,2020,40,9
77,77,7689,PEL.F10.GEN00/11,vitogiorgio,166.4,15795,2020-09-30,2020,40,9
78,78,7688S.I.,PEL.F20P.MACA880,giuseppe,37.8,2420,2020-10-01,2020,40,10
79,79,7688S.I.,PEL.F20P.MACA880,giuseppe,38.135,3468,2020-10-01,2020,40,10
80,80,7688C,CRO.S20P.MACA880,x.pol.t23,22.35,1003,2020-09-30,2020,40,9
81,81,7688C,CRO.S20P.MACA880,x.pol.t23,16.9,815,2020-09-30,2020,40,9
82,82,7623S.I.,PEL.F20P.MACA83,vitogiorgio,57.2,3792,2020-09-30,2020,40,9
83,83,7623S.I.,PEL.F20P.MACA83,vitogiorgio,57.15,3371,2020-09-30,2020,40,9
84,84,7623C,CRO.S20P.MACA83,vitogiorgio,29.78,811,2020-09-30,2020,40,9
85,85,7623C,CRO.S20P.MACA83,vitogiorgio,42.65,1236,2020-09-30,2020,40,9
86,86,7625S.I.,PEL.F20P.MACA007,giuseppe,59.15,6386,2020-10-01,2020,40,10
87,87,7625S.I.,PEL.F20P.MACA007,giuseppe,60.385,5239,2020-10-01,2020,40,10
88,88,7625C,CRO.S20P.MACA007,vitogiorgio,33.15,1044,2020-09-30,2020,40,9
89,89,7625C,CRO.S20P.MACA007,vitogiorgio,34.25,1019,2020-09-30,2020,40,9
90,90,7656S.I.,PEL.F20P.MACA013,giuseppe,74.447,8425,2020-10-02,2020,40,10
91,91,7656C,CRO.S20P.MACA013,vitogiorgio,54.03,1703,2020-09-30,2020,40,9
92,92,7647,PEL.F30.CER850,vitogiorgio,16.713,1084,2020-09-30,2020,40,9
93,93,7431C,CRO.S30.CER850,vitogiorgio,10.65,468,2020-09-30,2020,40,9
94,94,7653S.I.,PEL.F20P.MACA81,vitogiorgio,67.735,5314,2020-09-30,2020,40,9
95,95,7653C,CRO.S20P.MACA81,vitogiorgio,41.03,1896,2020-09-30,2020,40,9
96,96,7604S.I.,PEL.F20P.MACA86,giuseppe,55.2,4615,2020-10-01,2020,40,10
97,97,7604S.I.,PEL.F20P.MACA86,giuseppe,54.95,3747,2020-10-01,2020,40,10
98,98,7604C,CRO.S20P.MACA86,giuseppe,42.8,1909,2020-10-01,2020,40,10
99,99,7604C,CRO.S20P.MACA86,giuseppe,36.25,1820,2020-10-01,2020,40,10
